,Nome da Missão,Descrição,Ativada ao,Requirimentos,Recompensas
0,Apresentações,Seria um ótimo gesto se apresentar na cidade. Algumas pessoas podem estar ansiosas para conhecer o novo fazendeiro.,Missão introdutória,Ter conhecido 28  pessoas  .,
1,Como ganhar amigos,Dar presentes é uma ótima forma de construir relacionamentos. Aprenda os gostos individuais de cada pessoa e você será popular em pouco tempo.,Completar 'Apresentações',Dê um presente a alguém.,100 ouros
2,Primeiros passos,"Se você quiser trabalhar na fazenda, precisa começar com o básico. Utilize sua enxada para arar o solo. Então, utilize um pacote de sementes no solo arado para plantar. Regue todos os dias até que sua colheita esteja pronta.",Pegar o pacote de sementes no baú da casa.,Plante e colha uma  chirívia  .,100 ouros
3,À praia,Alguém chamado  Willy  convidou você para visitar a praia ao sul da cidade. Ele disse que tem algo a dar para você.,Recebê-la por Correio no dia 2 da  Primavera,Visite a praia ao sul da cidade antes da 17:00.,Vara de Bambu
4,Criando animais,"Robin  , a marceneira local, vive ao norte da cidade. Em troca de matéria bruta e dinheiro, ela construirá novas instalações na sua fazenda. Se quiser criar animais, precisará que ela construa um galinheiro ou estábulo.","Terminar ""Primeiros passos""",Construa um  galinheiro  .,
5,Avanço,"Enquanto você ganha experiência, descobrirá novas receitas de manufatura para aumentar seus lucros e facilitar sua vida. Um espantalho, por exemplo, evitará que corvos ataquem suas preciosas plantações.","Terminar ""Primeiros passos""",Alcance o  nível 1 de Cultivo  e crie um  espantalho  .,100 ouros
6,Explorar a mina,"Há um poço na mina das montanhas, ao norte da cidade. Pode haver materiais valiosos lá dentro, mas o Marlon disse que pode ser perigoso.",Entrar nas minas.,Alcance o nível 5 nas  minas  .,
7,Mais fundo na mina,Parece que o elevador da mina ainda está funcionando. Ele vai permitir que você retorne rapidamente para todas as portas de elevador descobertas. Pode ser necessária uma expedição mais profunda.,Alcançar o nível 5 das  minas  .,Alcance o nível 40 nas  minas  .,
8,Até o fundo?,"Até agora, não há sinal do fundo. Até onde ele vai?",Alcançar o nível 40 das  minas,Alcance o fundo da  mina,
9,Arqueologia,Gunther  perguntou se você poderia doar novos artefatos ou minerais que encontrar ao museu. Ele disse que o compensará ocasionalmente com bens raros.,Entrar no  Museu  com um artefato ou mineral no inventário.,Doe um artefato ou mineral ao museu.,250 ouros
10,"Infestação por ""ratos""",Tem algo estranho acontecendo no Centro Comunitário... Investigue o Centro Comunitário.,Ative a cinemática inicial do  Centro Comunitário  ao entrar na  Vila Pelicanos  pelo  Ponto de Ônibus  entre as 9 da manha e 1 da tarde em um dia ensolarado (A partir do dia 5 da Primavera).,Entre no Centro Comunitário e examine o Pergaminho Dourado na  Sala de Artesanatos  .,"Na manhã seguinte uma carta do  Feiticeiro  chegará no correio, ativando a missão ""Conheça o Feiticeiro""."
11,Encontre o feiticeiro,Você recebeu uma carta do feiticeiro. Ele diz ter informações sobre o antigo centro comunitário.,"Na manhã após você examinar o primeiro pergaminho dourado no  Centro Comunitário  , você recebe uma carta do  Feiticeiro  falando que ele possui informações para você.",Entre na torre do  Feiticeiro  .,O Feiticeiro lhe dará uma poção que lhe permite ler a língua dos  Junimos  .
12,Forja antecipada,"Se você planeja continuar minerando recursos, deve construir uma fornalha.","Amanhecer, após coletar minerais nas  Minas  , Clint irá até sua casa",Construa uma  Fornalha  .,
13,Fusão,"Agora que você construiu uma fornalha, pode fundir um pouco de metal. De acordo com as instruções do  Clint  , se você colocar 5  minérios de cobre  e 1 pedaço de  carvão  na fornalha, ela produzirá uma  barra de cobre  .",Completar 'Forja antecipada'.,Utilize sua  fornalha  para derreter uma  barra de cobre  .,
14,Iniciação,"Se você puder abater 10 gosmas, vai conquistar seu lugar na  Guilda dos Aventureiros  .","Recebê-la por Correio, na manhã seguinte ao alcançar o andar 5 da Mina.",10  gosmas verdes  derrotadas.,Entrada à  Guilda dos Aventureiros
15,Machado perdido da Robin,"Robin  perdeu seu machado favorito. Da última vez que ela lembra tê-lo usado, estava cortando madeira ao sul do rancho da Marnie.",,Encontre o machado perdido da Robin. Pode ser encontrado perto do cano de esgoto.,250 ouros
16,Pedido da Jodi,Jodi  precisa de couve-flor fresca para uma receita. Ela está pedindo por uma couve-flor fresca. (Você pode entregar no seu tempo),,Traga uma  couve-flor  para a Jodi.,350 ouros
17,"""Shorts"" do Prefeito","O  prefeito Lewis  perdeu seus ""shorts"" roxos. Ele está pedindo que você encontre-os e os devolva... Discretamente.","Recebê-la por Correio, no 3º dia do Verão",Encontre e devolva os shorts roxos do prefeito Lewis. Podem se encontrados no  quarto da Marnie  . (Não há penalidades se não entregar os shorts),750 ouros
18,Cesta de Mirtilos  [2],"É temporada de mirtilos  [2]  , mas  Linus  não consegue achar sua cesta! Ele está pedindo para você ajudá-lo a encontrá-la. Ele não tem ideia de onde ela está.",Recebê-la por Correio,"Está perto da entrada do túnel, a esquerda do Ponto de Ônibus.",1 coração de  amizade  com Linus
19,Pedido de Marnie,"Marnie  veio pela fazendo e perguntou se você poderia trazer para ela uma  cenoura subterrânea  . Ela está tentando treinar suas cabras a falar, e cenoura subterrânea é seu lanche favorito.",Ela visita a casa da fazenda após você estar com 3 corações de  amizade  com ela.,Leve uma  Cenoura subterrânea  para a  loja da Marnie  .,100 pontos de  amizade  .
20,Pam está com sede,Pam  gostaria de beber uma  pale ale  . Cerveja comum não serve. Você pode criar uma cerveja artesanal se tiver  lúpulo  e um  barril  .,"Recebê-la por Correio, em qualquer dia do  Verão  .",Trazer uma  pale ale  para a  Pam  .,"350 ouros  , 1 coração de  amizade  ."
21,Um reagente negro,O  feiticeiro  quer que você vá às minas e obtenha uma  Essência nula  para ele. É para uma espécie de ritual das trevas.,,Chegar ao nível 80 das minas.,1 000 ouros
22,Agrado de Vaca,Marnie  quer dar um agrado para suas vacas. Ela está pedindo por um feixe de amaranto.,Recebê-la por Correio.,Traga um feixe de  amaranto  para a Marnie.,500 ouros
23,Chave de Caveira,Você encontrou uma chave estranha no fundo das minas.,Chegar ao fundo das  Minas  .,Descubra o propósito da  Chave de Caveira  .,Acesso a mina do deserto.
24,Pesquisa de Plantações,Demetrius  precisa de um  melão  fresco para sua pesquisa.,"Recebê-la por Correio, em qualquer dia do  Verão  .",Traga um  melão  para  Demetrius  .,"550 ouros  , 1 coração de  amizade"
25,Remédio de Joelho,George precisa de  Pimenta quente  para amenizar a dor de seu joelho.,"Recebê-la por Correio, em qualquer dia do  Verão  .",Traga uma  Pimenta quente  para  George  .,"200 ouros  , 1 coração de  amizade  ."
26,Pedido da Robin,Robin  precisa de 10 pedaços de  Madeira de lei,"Recebê-la por Correio, dia 21 do  Inverno",Traga para  Robin  10  Madeiras de lei,"500 ouros  , 1 coração de  amizade"
27,Desafio do Qi,Você recebeu um desafio de chegar ao nível 25 na caverna de esqueletos. Você recebeu uma promessa de boa recompensa se for bem-sucedido.,Entrar na Caverna de Esqueletos.,Alcance o nível 25 na Caverna de Esqueletos.,10 000 ouros
28,O Misterioso Qi,"Em um cofre secreto, você achou um bilhete com instruções curiosas. Está assinado por um tal de ""  sr. Qi  "".","Colocar um  Conjunto de pilhas  num cofre no túnel, perto do Ponto de Ônibus.","Deixe uma  concha arco-íris  no cofre, na plataforma do trem.",
29,O Misterioso Qi,"Você achou outro bilhete escrito pelo ""sr. Qi"". O pedido é ainda mais exótico desta vez.","Completar a primeira missão ""O Misterioso Qi"".",Ponha 10  beterrabas  dentro da geladeira do  prefeito Lewis  .,
30,O Misterioso Qi,"Você achou um outro bilhete estranho dentro da geladeira do prefeito. Desta vez, as instruções são ainda mais obscuras.","Completar a segunda missão ""O Misterioso Qi"".","""Dê ao dragão de areia sua última refeição."" (Ponha uma  Essência solar  na boca do  dragão de areia  )",
31,O Misterioso Qi,Você achou outro bilhete no olho do dragão de areia. Parece que a estranha busca por restos mortais do sr. Qi chegou ao fim.,"Completar a terceira missão ""O Misterioso Qi"".",Inspecione a pilha de madeira atrás da sua casa.,"Cartão do Clube  , que dá acesso ao  Cassino  ."
32,Esculpindo Abóboras,Caroline  quer esculpir uma abóbora com sua filha. Ela pediu que você colha uma da fazenda.,"Recebê-la por Correio, durante o  Outono  .",Trazer uma  abóbora  para a  Caroline  .,500 ouros
33,Um Mistério do Inverno,"Você encontrou uma pessoa suspeita ao lado da parada de ônibus. Quando ela viu você, fugiu na direção da cidade. Será que existe alguma pista sobre seu paradeiro?","Correio, após ativar a cinemática ao entrar o  Ponto de Ônibus  pela fazenda durante o  Inverno  entre as 6 da manhã e as 4 da tarde.",Interaja com o arbusto à direita da parque infantil na  Vila Pelicanos  .,Lupa
34,Recado Estranho,"Você encontrou um recado, quase ilegível, pedindo que você leve ""xa róupi di boudo"" para o ""bosqi cecreto""",Ler o  recado secreto #23,Entre no  Bosque Secreto  das 6 às 19h com  xarope de ácer  no inventário para ativar a cinemática.,Conhecimento do Urso
35,Recado Misterioso,"Você encontrou um recado que dizia ""Alguém está esperando por você no nível 100 da  Caverna da Caveira  """,Ler o  recado secreto #10,Atinja o nível 100 da  Caverna da Caveira,"Sr. Qi  lhe premia com o ""leite de cobra de irídio"", que aumentará permanentemente em 25 pontos a sua  saúde  ."
36,Frutas frescas,A  Emily  quer sentir o gosto da primavera. Ela está pedindo um damasco fresco.,"Recebê-la por Correio, durante a  Primavera  do segundo ano.",Traga um  Damasco  para a Emily.,
37,Pesquisa aquática,Demetrius  está estudando o nível de toxinas dos baiacus locais. Ele gostaria que você trouxesse um para ele.,Recebê-la por Correio.,Trazer um  Baiacu  para o  Demetrius  .,600 ouros
38,A Estrela do Soldado,Kent  quer dar carambola para sua esposa.,Recebê-la por Correio.,Trazer uma  carambola  para o Kent.,500 ouros
39,Vontade do prefeito,O  prefeito Lewis  quer óleo de trufas. Ele não quer explicar o porquê. Talvez não seja da sua conta.,Recebê-la por Correio.,Trazer uma garrafa de  Óleo de trufas  para o prefeito.,500 ouros
40,Precisa-se: Lagosta,Gus  enviou um comunicado pedindo uma lagosta fresca.,Recebê-la por Correio.,Trazer uma  Lagosta  para o  Gus  .,500 ouros
41,Pam precisa de energia,O controle remoto da Pam estragou. Ela está tendo muita dificuldade de levantar do sofá e mudar os canais.,Recebê-la por Correio,Trazer um  Conjunto de pilhas  para a  Pam  .,400 ouros
42,Caçarola de Peixe,Jodi  apareceu na fazenda e convidou você para jantar às 19:00. Seu único pedido foi que você trouxesse um  achigã  para a caçarola.,Evento de 4 corações da Jodi\15º Dia do  Outono  ou 1º Dia do  Inverno  do primeiro ano.,Entre na casa da Jodi com uma caçarola às 19:00.,Cena de Evento
43,Caça à Lula,"Willy  está desafiando você a pegar uma  lula  . Ele disse que você poderá pescá-las no oceano, nas noites de inverno.",Recebê-la por Correio.,Traga uma  lula  para o  Willy  .,800 ouros
44,Guisado de peixe,"Gus  quer fazer guisado de peixe, mas precisa de uma  Albacora  .",Recebê-la por Correio.,Trazer uma  Albacora  para o  Gus  .,400 ouros
45,Bilhete do Pierre,"Pierre  pagará muito dinheiro para quem trouxer a ele um prato de sashimi. Aparentemente, ele ama a coisa.",Recebê-la por Correio.,Trazer um pouco de  Sashimi  para o  Pierre  .,1 000 ouros
46,Tentativa do Clint,Clint  quer que você dê uma  ametista  à Emily. Ele quer que você diga a ela que é presente dele.,Recebê-la por Correio.,Dê uma  Ametista  para a  Emily  .,1 coração de  Amizade  com Emily
47,Um favor ao Clint,Clint  ganhou um novo martelo e quer testá-lo em vários metais.,Recebê-la por Correio.,Trazer uma  Barra de ferro  para o  Clint  .,500 ouros
48,Cajado do Poder,O feiticeiro está criando um cajado de poder fenomenal. Para que será que serve? Ele precisa de uma barra de irídio para terminá-lo,"Recebê-la por Correio, no 5º dia do  Inverno  do segundo ano.",Traga uma  Barra de irídio  para o  feiticeiro  .,5 000 ouros
49,Presente da vovó,Evelyn quer surpreender seu marido com um presente.,"Recebê-la por Correio, no 15º dia da  Primavera  do segundo ano.",Trazer  alho-poró  para Evelyn.,500 ouros
50,Espíritos exóticos,"Gus quer fazer um Coco-no-no, mas não tem o ingrediente principal.",Recebê-la por Correio.,Traga um  coco  para o  Gus  !,600 ouros
51,Pegue um Ófis,Willy está desafiando você a pegar um  Ófis  .,Recebê-la por Correio.,Trazer um  Ófis  para o  Willy  .,550 ouros
52,Talismã das trevas,"O feiticeiro me pediu para obter tinta mágica da sua ex-esposa, a bruxa... mas para entrar, vou precisar de um talismã negro.",Ver a cena da  Ferrovia  (após completar os  conjuntos  do  Centro Comunitário  ou taxas do  Armazém Joja  ).,Entre no esgoto e pergunte a  Krobus  sobre o talismã negro.,
53,Caminho bloqueado,Tem um duende bloqueando o caminho para a Cabana da Bruxa. Deve haver um jeito de fazê-lo se mexer... Talvez eu devesse procurar mais informações sobre os duendes.,"Entrar na caverna da  Ferrovia  , liberada ao completar ""Talismã das trevas"".",Fale com o  Ajudante  fora da cabana da Bruxa e dê a ele  Maionese nula  como um presente. Pegue a  Tinta mágica  da cabana da bruxa e entregue ao feiticeiro.,Construções de fazenda  disponíveis. Acesso aos altares na  Cabana da Bruxa  .
54,A Esposa do Pirata,"Uma  velha senhora  que mora na  Ilha Gengibre  te pediu para achar uma lembrança de seu marido. Ela te deu uma foto antiga de um soldado na praia, esperando que ajude de alguma forma.",Fale com  Passarinha,Dê a  Lembrança de Guerra  para o  Kent  Dê o  Sal Gourmet de Tomate  para o  Gus  Dê as  Rosa do Vale do Orvalho  para a  Sandy  Dê o  Controle de TV Avançado  para o  George  Dê as  Estilhaço Ártico  para o  Feiticeiro  Dê o  Minhoca Viva  para o  Willy  Dê o  Medalhão de Pirata  para a  Passarinha,"Receita de  Pó de Fada  , 5  Nozes Douradas"
